IGHV,L-Intron-L,FW1,CDR1,FW2,CDR2,FW3
IGHV3-15*07,0,1,0,0,0,0
IGHV3-15*08,0,1,0,0,0,0
IGHV3-15*09,0,1,0,0,0,0
IGHV3-20*01,0,1,0,0,0,0
IGHV3-20*02,0,1,0,0,0,0
IGHV3-20*03,0,1,0,0,0,0
IGHV3-20*04,0,1,0,0,0,0
IGHV3-21*01,0,1,0,0,0,0
IGHV3-21*02,0,0,0,0,0,0
IGHV3-21*03,0,1,0,0,0,1
IGHV3-21*06,0,1,0,0,0,0
IGHV3-23*01,0,1,0,0,0,0
IGHV3-23*02,0,1,0,0,0,0
IGHV3-23*04,0,1,0,0,0,0
IGHV3-23D*01,0,1,0,0,0,0
IGHV3-30*01,0,1,0,0,0,0
IGHV3-30*03,0,1,0,0,0,0
IGHV3-30*18,0,1,0,0,0,0
IGHV3-30-3*01,0,1,0,0,0,0
IGHV3-30-3*03,0,1,0,0,0,0
IGHV3-30-5*01,0,1,0,0,0,0
IGHV3-30-5*02,0,1,0,0,0,0
IGHV3-30-5*03,0,1,0,0,0,0
IGHV3-33*01,0,1,0,0,0,0
IGHV3-33*02,0,1,0,0,0,0
IGHV3-33*07,0,1,0,0,0,0
IGHV3-33*08,0,1,0,0,0,0
IGHV3-35*01,0,1,0,0,0,0
IGHV3-35*02,0,1,0,0,0,0
IGHV3-43*01,0,1,0,0,0,0
IGHV3-43*02,0,1,0,0,0,0
IGHV3-43D*03,0,1,0,0,0,0
IGHV3-43D*04,0,1,0,0,0,0
IGHV3-48*01,0,1,0,0,0,0
IGHV3-48*02,0,1,0,0,0,0
IGHV3-48*03,0,1,0,0,0,0
IGHV3-49*01,0,1,0,0,0,0
IGHV3-49*02,0,1,0,0,0,0
IGHV3-49*03,0,1,0,0,0,0
IGHV3-49*04,0,1,0,0,0,0
IGHV3-49*05,0,1,0,0,0,0
IGHV3-53*01,0,1,0,0,0,0
IGHV3-53*02,0,1,0,0,0,0
IGHV3-53*04,0,1,0,0,0,0
IGHV3-53*06,0,1,0,0,0,0
IGHV3-62*01,0,1,0,0,0,0
IGHV3-62*03,0,1,0,0,0,0
IGHV3-62*04,0,1,0,0,0,0
IGHV3-62*06,0,1,0,0,0,1
IGHV3-64*01,0,1,0,0,0,0
IGHV3-64*02,0,1,0,0,0,0
IGHV3-64*07,0,1,0,0,0,0
IGHV3-64D*06,0,1,0,0,0,0
IGHV3-64D*08,0,1,0,0,0,0
IGHV3-64D*09,0,1,0,0,0,0
IGHV3-66*01,0,1,0,0,0,0
IGHV3-66*02,0,1,0,0,0,0
IGHV3-66*03,0,1,0,0,0,0
IGHV3-7*01,0,1,0,0,0,0
IGHV3-7*04,0,1,0,0,0,0
IGHV3-7*05,0,1,0,0,0,0
IGHV3-72*01,0,1,0,0,0,0
IGHV3-73*01,0,1,0,0,0,0
IGHV3-73*02,0,1,0,0,0,0
IGHV3-74*01,0,1,0,0,0,0
IGHV3-74*03,0,1,0,0,0,0
IGHV3-9*01,0,1,0,0,0,0
IGHV3-9*03,0,1,0,0,0,0
IGHV4-28*01,0,1,0,0,0,0
IGHV4-28*02,0,1,0,0,0,0
IGHV4-28*03,0,1,0,0,0,0
IGHV4-28*07,0,1,0,0,0,0
IGHV4-30-2*01,0,2,0,0,0,0
IGHV4-30-2*03,0,2,0,0,0,0
IGHV4-30-2*06,0,2,0,0,0,0
IGHV4-30-4*01,0,1,0,0,0,0
IGHV4-30-4*02,0,1,0,0,0,0
IGHV4-30-4*03,0,1,0,0,0,0
IGHV4-30-4*04,0,1,0,0,0,0
IGHV4-30-4*07,0,1,0,0,0,0
IGHV4-30-4*09,0,1,0,0,0,0
IGHV4-31*02,0,1,0,0,0,0
IGHV4-31*03,0,1,0,0,0,0
IGHV4-31*06,0,1,0,0,0,0
IGHV4-31*07,0,1,0,0,0,0
IGHV4-31*08,0,1,0,0,0,0
IGHV4-31*09,0,1,0,0,0,0
IGHV4-31*10,0,1,0,0,0,0
IGHV4-31*13,0,1,0,0,0,0
IGHV4-34*01,0,0,0,0,0,0
IGHV4-34*02,0,0,0,0,0,0
IGHV4-34*03,0,0,0,0,0,0
IGHV4-34*04,0,0,0,0,0,0
IGHV4-34*05,0,0,0,0,0,0
IGHV4-34*06,0,0,0,0,0,0
IGHV4-34*07,0,0,0,0,0,0
IGHV4-34*09,0,1,0,0,0,0
IGHV4-34*10,0,1,0,0,0,0
IGHV4-34*11,0,0,0,0,0,0
IGHV4-38-2*01,0,1,0,0,0,0
IGHV4-38-2*02,0,1,0,0,0,0
IGHV4-39*01,0,2,0,0,0,0
IGHV4-39*02,0,2,0,0,0,0
IGHV4-39*03,0,2,0,0,0,0
IGHV4-39*06,0,1,0,0,0,0
IGHV4-4*01,0,1,0,0,0,0
IGHV4-4*02,0,1,0,0,0,0
IGHV4-4*04,0,1,0,0,0,0
IGHV4-4*05,0,1,0,0,0,0
IGHV4-4*07,0,1,0,0,0,0
IGHV4-4*08,0,1,0,0,0,0
IGHV4-4*12,0,1,0,0,0,0
IGHV4-59*01,0,1,0,0,0,0
IGHV4-59*02,0,1,0,0,0,0
IGHV4-59*10,0,0,0,0,0,0
IGHV4-59*11,0,1,0,0,0,0
IGHV4-59*13,0,1,0,0,0,0
IGHV4-61*01,0,1,0,0,0,0
IGHV4-61*02,0,1,0,0,0,0
IGHV4-61*03,0,1,0,0,0,0
IGHV4-61*04,0,1,0,0,0,0
IGHV4-61*08,0,1,0,0,0,0
IGHV4-61*09,0,1,0,0,0,0
IGHV5-10-1*01,0,1,0,1,0,1
IGHV5-10-1*02,1,1,0,1,0,1
IGHV5-51*01,0,1,0,0,0,0
IGHV5-51*02,0,1,0,0,0,0
IGHV5-51*07,0,1,0,0,0,0
IGHV6-1*01,0,1,0,0,0,1
IGHV6-1*02,0,1,0,0,0,1
IGHV6-1*03,0,1,0,0,0,1
IGHV7-4-1*01,0,1,0,0,0,0
IGHV7-4-1*02,0,1,0,0,0,0
